,MVP,ROY,DPOY,MIP,SMOY
2000,Shaquille O'Neal,Elton Brand,Alonzo Mourning,Jalen Rose,Rodney Rogers
2001,Allen Iverson,Mike Miller,Dikembe Mutombo,Tracy McGrady,Aaron McKie
2002,Tim Duncan,Pau Gasol,Ben Wallace,Jermaine O'Neal,Corliss Williamson
2003,Tim Duncan,Amar'e Stoudemire,Ben Wallace,Gilbert Arenas,Bobby Jackson
2004,Kevin Garnett,LeBron James,Metta World Peace,Zach Randolph,Antawn Jamison
2005,Steve Nash,Emeka Okafor,Ben Wallace,Bobby Simmons,Ben Gordon
2006,Steve Nash,Chris Paul,Ben Wallace,Boris Diaw,Mike Miller
2007,Dirk Nowitzki,Brandon Roy,Marcus Camby,Monta Ellis,Leandro Barbosa
2008,Kobe Bryant,Kevin Durant,Kevin Garnett,Hedo Türkoğlu,Manu Ginóbili
2009,LeBron James,Derrick Rose,Dwight Howard,Danny Granger,Jason Terry
2010,LeBron James,Tyreke Evans,Dwight Howard,Aaron Brooks,Jamal Crawford
2011,Derrick Rose,Blake Griffin,Dwight Howard,Kevin Love,Lamar Odom
2012,LeBron James,Kyrie Irving,Tyson Chandler,Ryan Anderson,James Harden
2013,LeBron James,Damian Lillard,Marc Gasol,Paul George,J.R. Smith
2014,Kevin Durant,Michael Carter-Williams,Joakim Noah,Goran Dragić,Jamal Crawford
2015,Stephen Curry,Andrew Wiggins,Kawhi Leonard,Jimmy Butler,Lou Williams
2016,Stephen Curry,Karl-Anthony Towns,Kawhi Leonard,CJ McCollum,Jamal Crawford
2017,Russell Westbrook,Malcolm Brogdon,Draymond Green,Giannis Antetokounmpo,Eric Gordon
2018,James Harden,Ben Simmons,Rudy Gobert,Victor Oladipo,Lou Williams
2019,Giannis Antetokounmpo,Luka Dončić,Rudy Gobert,Pascal Siakam,Lou Williams
2020,Giannis Antetokounmpo,Ja Morant,Giannis Antetokounmpo,Brandon Ingram,Montrezl Harrell
2021,Nikola Jokić,LaMelo Ball,Rudy Gobert,Julius Randle,Jordan Clarkson
2022,Nikola Jokić,Scottie Barnes,Marcus Smart,Ja Morant,Tyler Herro
2023,Joel Embiid,Paolo Banchero,Jaren Jackson Jr.,Lauri Markkanen,Malcolm Brogdon
