Team,G,MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS,OPP_Made_Playoffs
DET,82,241.5,37.1,83.0,0.447,2.3,6.8,0.33299999999999996,34.8,76.2,0.457,21.8,28.6,0.762,12.7,27.8,40.5,21.5,7.4,3.7,15.2,25.3,98.3,True
MIN,82,242.1,37.6,77.9,0.48200000000000004,1.6,4.8,0.33,36.0,73.2,0.49200000000000005,22.7,29.5,0.768,12.8,28.3,41.1,22.9,7.0,6.0,16.7,21.3,99.4,False
UTA,82,241.8,38.6,84.7,0.455,2.1,6.9,0.309,36.5,77.9,0.46799999999999997,22.7,29.9,0.7609999999999999,13.4,27.0,40.4,23.0,9.0,5.5,15.1,23.3,102.0,True
DAL,82,242.1,40.1,85.5,0.469,2.1,7.2,0.298,38.0,78.4,0.484,19.8,26.4,0.753,13.9,29.2,43.2,23.9,7.9,4.7,15.1,22.3,102.2,True
SAS,82,240.6,39.9,86.5,0.461,2.8,7.6,0.37,37.0,78.9,0.47,20.3,26.5,0.767,13.7,27.3,41.0,24.0,9.3,5.1,17.3,23.4,102.8,True
CLE,82,242.4,41.7,87.0,0.479,1.9,6.1,0.312,39.8,80.9,0.49200000000000005,17.6,23.1,0.7609999999999999,13.8,29.9,43.7,26.1,8.3,4.6,15.8,23.1,102.9,True
LAL,82,242.1,41.2,88.4,0.467,2.1,6.3,0.337,39.1,82.0,0.47700000000000004,19.3,25.7,0.75,13.8,27.4,41.1,24.5,8.2,5.2,14.6,23.3,103.9,True
PHI,82,241.5,41.7,86.8,0.48,2.6,7.0,0.37,39.1,79.8,0.49,19.3,25.0,0.7709999999999999,13.6,28.7,42.3,26.3,7.8,4.6,15.0,23.7,105.2,True
HOU,82,241.5,41.5,89.3,0.46399999999999997,2.0,6.8,0.293,39.5,82.5,0.478,20.4,27.5,0.741,14.3,30.0,44.3,24.5,9.6,4.8,17.4,22.2,105.3,True
SEA,82,242.7,39.7,81.8,0.486,2.2,6.3,0.342,37.5,75.4,0.498,24.3,30.9,0.7859999999999999,12.3,26.9,39.2,22.7,7.7,5.0,15.9,21.9,105.9,False
BOS,82,240.3,41.9,90.0,0.466,2.1,6.6,0.319,39.8,83.5,0.47700000000000004,20.1,26.0,0.773,12.8,28.3,41.0,25.3,9.0,4.3,12.2,22.5,106.0,True
CHI,82,241.8,41.0,83.2,0.493,2.5,7.1,0.35100000000000003,38.5,76.1,0.506,21.8,29.2,0.746,13.0,28.0,41.0,25.7,8.1,4.7,17.2,21.2,106.2,True
SAC,82,240.9,41.3,87.3,0.473,2.0,6.2,0.316,39.3,81.1,0.485,22.3,28.3,0.787,14.0,30.9,44.8,24.7,8.6,4.8,14.2,21.2,106.8,False
MIL,82,241.8,40.1,83.8,0.479,2.2,6.9,0.321,37.9,76.9,0.493,24.3,31.3,0.774,14.1,29.3,43.5,24.7,8.4,5.4,18.4,22.9,106.8,True
NYK,82,241.8,42.6,90.6,0.47100000000000003,2.1,6.6,0.315,40.6,84.0,0.483,19.5,25.6,0.7609999999999999,15.2,27.9,43.1,25.9,8.8,5.1,15.7,22.8,106.9,True
LAC,82,241.5,41.9,87.9,0.47600000000000003,2.3,7.0,0.32299999999999995,39.6,80.9,0.49,21.2,27.5,0.772,14.0,28.9,42.9,25.5,10.1,5.2,16.6,23.8,107.2,False
ATL,82,240.6,41.9,84.6,0.496,2.2,6.5,0.34,39.7,78.1,0.509,21.5,27.8,0.772,14.0,27.3,41.3,26.1,8.2,4.7,15.8,23.9,107.5,False
PHO,82,242.1,43.0,92.5,0.465,2.4,6.9,0.355,40.6,85.7,0.474,19.3,26.4,0.733,14.7,28.5,43.1,25.9,8.3,4.8,15.3,26.2,107.8,True
POR,82,242.4,40.9,88.1,0.46399999999999997,2.8,8.4,0.331,38.1,79.7,0.478,23.4,30.5,0.767,12.9,28.7,41.6,24.7,8.1,5.3,18.2,25.4,107.9,True
NJN,82,240.3,41.5,85.6,0.485,1.7,5.1,0.336,39.8,80.5,0.494,23.2,30.4,0.765,14.0,31.6,45.5,22.8,9.4,5.8,17.3,23.0,108.0,False
CHO,82,240.9,41.9,84.4,0.49700000000000005,1.6,5.1,0.314,40.3,79.3,0.509,22.7,29.0,0.784,13.0,33.2,46.2,25.2,7.8,4.7,16.8,21.4,108.2,False
IND,82,242.4,42.5,88.1,0.48200000000000004,2.1,6.6,0.32,40.4,81.5,0.496,22.0,29.2,0.753,14.3,28.0,42.3,23.7,8.7,3.9,14.5,24.6,109.1,True
WSB,82,241.8,42.8,90.3,0.474,1.7,5.8,0.3,41.1,84.5,0.486,22.5,29.0,0.777,14.6,30.5,45.1,23.8,7.9,5.2,14.6,21.7,109.9,False
MIA,82,240.6,41.7,85.5,0.488,1.9,5.6,0.342,39.8,79.9,0.498,25.0,33.1,0.755,13.7,30.1,43.8,25.3,10.5,5.8,18.0,21.7,110.3,False
DEN,82,241.5,43.8,89.4,0.489,2.0,6.3,0.317,41.8,83.1,0.502,23.6,30.7,0.77,12.5,34.7,47.2,25.3,7.5,5.6,18.5,23.3,113.2,True
GSW,82,240.3,45.9,96.2,0.478,3.2,8.9,0.35600000000000004,42.7,87.2,0.49,24.4,32.1,0.759,18.2,31.6,49.9,28.4,10.0,5.2,17.3,27.1,119.4,False
ORL,82,241.5,47.1,94.6,0.498,2.4,6.8,0.353,44.7,87.8,0.509,23.1,30.5,0.758,14.3,31.3,45.6,28.5,9.0,6.8,14.8,25.1,119.8,False
