Team,G,MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS,OPP_Made_Playoffs
DET,18,240.0,33.8,72.9,0.46399999999999997,4.4,13.5,0.325,29.4,59.4,0.495,16.4,22.8,0.722,10.3,29.3,39.7,17.3,5.8,4.3,14.3,23.8,88.5,False
MIA,23,241.1,33.0,76.8,0.429,6.2,19.2,0.324,26.7,57.6,0.46399999999999997,20.3,27.2,0.748,10.0,29.1,39.1,17.5,6.5,2.9,14.3,25.7,92.5,False
IND,6,240.0,33.7,75.2,0.44799999999999995,4.7,16.2,0.289,29.0,59.0,0.49200000000000005,21.0,26.3,0.797,10.5,27.7,38.2,23.3,7.2,3.2,11.8,25.2,93.0,False
CLE,13,243.8,32.8,75.2,0.43700000000000006,6.5,17.8,0.36200000000000004,26.4,57.4,0.46,21.4,29.8,0.718,11.5,28.2,39.7,17.3,6.7,5.4,12.8,21.0,93.5,False
DEN,5,240.0,34.2,74.0,0.462,4.6,12.8,0.359,29.6,61.2,0.484,22.0,27.4,0.8029999999999999,8.4,34.0,42.4,22.4,5.6,5.8,17.4,27.0,95.0,False
BRK,11,240.0,32.9,70.6,0.466,7.2,19.7,0.364,25.7,50.9,0.505,22.1,30.6,0.721,8.3,30.2,38.5,17.5,6.7,3.7,14.8,24.0,95.1,False
DAL,23,244.3,34.8,74.0,0.47,5.3,15.4,0.345,29.5,58.7,0.503,20.7,29.1,0.7120000000000001,8.7,29.5,38.3,16.1,6.1,4.8,14.3,24.4,95.7,False
MEM,4,246.3,34.8,76.8,0.45299999999999996,5.3,14.8,0.35600000000000004,29.5,62.0,0.47600000000000003,23.5,27.5,0.855,13.8,29.3,43.0,18.3,6.8,4.5,12.8,28.0,98.3,False
SAS,13,245.8,35.8,78.5,0.456,4.6,13.4,0.345,31.2,65.2,0.479,24.5,30.5,0.8059999999999999,11.8,27.8,39.6,14.2,6.5,4.2,12.5,26.6,100.8,False
CHI,6,240.0,36.5,78.7,0.46399999999999997,7.8,23.2,0.33799999999999997,28.7,55.5,0.517,20.5,29.5,0.695,11.2,32.0,43.2,19.3,6.8,5.3,15.8,26.2,101.3,False
WAS,6,248.3,37.3,81.5,0.45799999999999996,5.0,14.3,0.349,32.3,67.2,0.48100000000000004,21.8,28.7,0.762,12.8,31.5,44.3,17.2,7.7,4.3,15.5,26.8,101.5,False
LAC,12,244.2,37.8,86.8,0.435,7.7,22.6,0.33899999999999997,30.1,64.3,0.46799999999999997,18.8,24.3,0.773,11.0,27.5,38.5,24.3,6.6,4.2,11.1,22.4,101.9,False
PHO,20,245.0,40.3,84.8,0.475,5.4,16.1,0.336,34.9,68.7,0.507,20.1,25.3,0.794,12.6,32.7,45.3,17.4,6.0,4.3,13.6,21.7,106.0,False
SAC,6,244.2,38.3,74.8,0.512,8.0,18.5,0.43200000000000005,30.3,56.3,0.5379999999999999,22.2,28.2,0.787,8.7,30.2,38.8,22.0,6.0,5.7,13.3,22.8,106.8,False
MIL,5,240.0,36.4,75.2,0.484,9.0,21.0,0.429,27.4,54.2,0.506,25.4,34.0,0.747,11.0,29.2,40.2,24.2,6.2,4.4,10.6,20.0,107.2,False
LAL,7,247.1,39.1,80.3,0.488,8.9,22.0,0.40299999999999997,30.3,58.3,0.52,20.1,22.6,0.892,5.7,30.0,35.7,22.3,6.0,3.4,11.7,21.4,107.3,False
