Tm,G,MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS,OPP_Made_Playoffs
MIA,18,240.0,34.7,77.8,0.446,11.5,34.0,0.33799999999999997,23.2,43.8,0.529,19.6,23.9,0.8170000000000001,8.1,32.3,40.4,20.6,6.2,4.6,15.5,21.4,100.4,False
MIL,12,240.0,36.6,86.9,0.42100000000000004,13.5,39.7,0.34,23.1,47.3,0.489,14.6,18.1,0.8059999999999999,7.8,35.4,43.3,24.0,6.7,5.5,12.8,20.2,101.3,False
BOS,24,240.0,37.6,86.2,0.436,11.2,33.6,0.332,26.4,52.6,0.502,15.6,20.0,0.78,10.2,32.1,42.3,20.9,8.2,4.7,13.3,21.7,102.0,False
PHI,12,242.1,38.5,84.7,0.455,9.7,32.3,0.299,28.8,52.3,0.551,17.5,21.8,0.805,10.0,30.0,40.0,21.1,7.1,4.2,11.7,20.5,104.2,False
UTA,6,240.0,35.8,80.7,0.444,15.5,41.8,0.371,20.3,38.8,0.524,17.5,22.2,0.789,6.0,31.7,37.7,19.3,6.5,2.3,8.7,23.2,104.7,False
DAL,18,240.0,38.9,81.7,0.47700000000000004,10.2,29.0,0.35200000000000004,28.7,52.7,0.545,17.5,21.9,0.799,10.2,34.9,45.1,23.5,5.1,3.6,13.4,22.1,105.6,False
GSW,22,240.0,37.5,85.5,0.439,14.2,37.8,0.375,23.4,47.7,0.49,17.5,23.0,0.7609999999999999,9.9,31.8,41.7,24.1,7.3,4.9,13.9,19.3,106.8,False
PHO,13,240.0,38.2,82.6,0.462,12.7,33.2,0.38299999999999995,25.5,49.5,0.515,19.6,25.3,0.775,10.9,29.7,40.6,19.3,7.7,3.0,13.0,21.2,108.6,False
ATL,5,240.0,39.8,85.6,0.465,13.2,38.4,0.344,26.6,47.2,0.564,16.6,21.2,0.7829999999999999,8.2,31.8,40.0,25.4,9.4,3.0,13.2,23.4,109.4,False
CHI,5,240.0,40.6,86.0,0.47200000000000003,14.0,36.8,0.38,26.6,49.2,0.541,14.6,21.2,0.6890000000000001,8.2,43.6,51.8,23.4,6.4,4.8,15.4,17.8,109.8,False
MEM,12,240.0,39.1,86.6,0.451,13.7,37.6,0.364,25.4,49.0,0.519,18.3,22.8,0.802,9.6,35.7,45.3,25.0,6.8,6.8,17.9,23.8,110.1,False
NOP,6,240.0,43.3,82.8,0.523,8.7,27.2,0.319,34.7,55.7,0.623,16.0,19.8,0.807,7.5,28.2,35.7,26.8,7.8,4.0,11.0,22.7,111.3,False
TOR,6,244.2,38.2,78.2,0.488,13.7,33.5,0.408,24.5,44.7,0.5489999999999999,21.5,25.3,0.8490000000000001,8.3,33.5,41.8,24.0,5.2,4.8,14.5,20.3,111.5,False
BRK,4,240.0,41.3,84.3,0.49,12.3,34.5,0.355,29.0,49.8,0.583,18.8,22.8,0.8240000000000001,11.0,28.5,39.5,25.8,8.8,4.0,14.0,24.5,113.5,False
MIN,6,240.0,39.8,87.8,0.45399999999999996,11.5,31.7,0.363,28.3,56.2,0.504,23.5,32.3,0.727,12.5,33.8,46.3,25.8,8.2,6.2,16.0,23.2,114.7,False
DEN,5,240.0,42.0,81.6,0.515,15.2,36.0,0.42200000000000004,26.8,45.6,0.588,18.8,26.8,0.701,7.0,28.8,35.8,28.6,9.4,6.2,13.0,23.2,118.0,False
