Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary,AvgDistance,2PAr,0-3Ar,3-10Ar,10-16Ar,16-3PAr,0-3%,3-10%,10-16%,16-3P%,2P_Assisted,3P_Assisted,DunksAr,Dunks,3PCornerAr,3PCorner%,HeavesAttempted,Heaves,Cluster
Marcin Gortat,C,32,WAS,82,82,31.2,4.8,8.2,0.579,0.0,0.0,0.0,4.8,8.2,0.58,0.579,1.3,1.9,0.648,2.9,7.5,10.4,1.5,0.5,0.7,1.5,2.6,10.8,15.4,0.593,0.003,0.236,10.6,26.8,18.7,6.8,0.8,2.0,13.8,14.7,3.9,2.9,6.8,0.127,-0.3,-0.5,-0.8,0.8,12000000.0,5.0,0.997,0.522,0.312,0.141,0.022,0.702,0.486,0.368,0.4,0.71,0.0,0.083,46,0.0,0.0,0,0,0
Justin Holiday,SG,27,NYK,82,4,20.0,2.8,6.6,0.433,1.2,3.3,0.355,1.7,3.2,0.513,0.523,0.8,1.0,0.825,0.3,2.4,2.7,1.2,0.8,0.4,0.8,1.3,7.7,12.7,0.549,0.507,0.149,1.8,13.1,7.4,9.2,2.0,1.5,10.3,16.9,1.3,1.2,2.5,0.073,-0.5,0.2,-0.3,0.7,1015696.0,17.6,0.493,0.197,0.048,0.071,0.177,0.642,0.423,0.474,0.411,0.743,0.979,0.048,24,0.348,0.474,3,0,1
Joe Ingles,SF,29,UTA,82,26,24.0,2.5,5.5,0.452,1.5,3.4,0.441,1.0,2.1,0.471,0.589,0.6,0.8,0.735,0.3,2.9,3.2,2.7,1.2,0.1,1.3,2.0,7.1,12.4,0.604,0.619,0.151,1.4,13.6,7.6,17.2,2.6,0.3,18.2,13.9,2.0,3.0,5.0,0.123,-0.7,2.3,1.6,1.8,2150000.0,18.1,0.381,0.182,0.073,0.04,0.086,0.671,0.333,0.222,0.282,0.37,0.821,0.009,4,0.355,0.424,1,0,1
Andrew Wiggins,SF,21,MIN,82,82,37.2,8.6,19.1,0.452,1.3,3.5,0.356,7.4,15.6,0.473,0.484,5.0,6.6,0.76,1.2,2.8,4.0,2.3,1.0,0.4,2.3,2.2,23.6,16.5,0.534,0.184,0.345,3.8,8.8,6.3,10.6,1.4,0.8,9.4,29.0,3.3,0.9,4.2,0.066,0.7,-2.4,-1.7,0.2,6006600.0,12.6,0.816,0.291,0.131,0.139,0.253,0.65,0.374,0.365,0.383,0.414,0.757,0.052,77,0.104,0.367,1,0,3
Gorgui Dieng,PF,27,MIN,82,82,32.4,4.0,8.1,0.502,0.2,0.5,0.372,3.9,7.5,0.511,0.514,1.7,2.0,0.814,2.3,5.6,7.9,1.9,1.1,1.2,1.3,3.1,10.0,14.2,0.555,0.065,0.253,8.1,20.5,14.2,8.6,1.7,3.1,12.7,14.0,3.2,2.5,5.7,0.103,-0.8,0.6,-0.1,1.3,2348783.0,10.4,0.935,0.337,0.177,0.135,0.286,0.641,0.436,0.449,0.434,0.782,0.938,0.079,47,0.721,0.452,3,0,4
Marreese Speights,C,29,LAC,82,2,15.7,3.0,6.7,0.445,1.3,3.4,0.372,1.7,3.3,0.52,0.539,1.5,1.7,0.876,1.1,3.5,4.5,0.8,0.3,0.5,0.8,2.8,8.7,17.5,0.584,0.505,0.25,7.9,24.1,16.2,8.0,0.9,2.6,10.2,23.6,2.5,1.7,4.2,0.155,0.9,-0.3,0.6,0.9,1403611.0,16.1,0.495,0.245,0.126,0.055,0.068,0.634,0.42,0.333,0.459,0.667,0.981,0.036,15,0.112,0.452,3,0,4
Tobias Harris,PF,24,DET,82,48,31.3,6.2,13.0,0.481,1.3,3.8,0.347,4.9,9.1,0.537,0.532,2.3,2.8,0.841,0.8,4.3,5.1,1.7,0.7,0.5,1.2,1.6,16.1,16.9,0.568,0.295,0.213,2.6,15.6,8.8,8.8,1.2,1.3,7.6,21.7,4.0,2.8,6.8,0.128,1.3,0.3,1.6,2.3,17200000.0,13.3,0.705,0.207,0.22,0.169,0.108,0.705,0.474,0.444,0.487,0.502,0.991,0.051,50,0.258,0.346,2,0,3
Jeff Teague,PG,28,IND,82,82,32.4,4.9,11.1,0.442,1.1,3.1,0.357,3.8,8.0,0.475,0.492,4.4,5.1,0.867,0.4,3.6,4.0,7.8,1.2,0.4,2.6,2.0,15.3,19.2,0.574,0.277,0.457,1.4,12.4,7.0,36.4,1.9,1.1,16.5,22.1,5.7,2.4,8.1,0.146,2.3,-0.1,2.2,2.8,8800000.0,12.4,0.723,0.237,0.295,0.099,0.091,0.558,0.407,0.5,0.458,0.096,0.6,0.002,2,0.091,0.304,3,0,3
Elfrid Payton,PG,22,ORL,82,58,29.4,5.2,11.1,0.471,0.5,1.8,0.274,4.8,9.3,0.509,0.493,1.8,2.6,0.692,1.1,3.6,4.7,6.5,1.1,0.5,2.2,2.2,12.8,17.2,0.52,0.16,0.231,3.9,13.9,8.7,35.7,1.8,1.3,15.0,21.6,2.4,2.0,4.4,0.088,0.8,0.0,0.8,1.7,2613600.0,9.2,0.84,0.424,0.219,0.088,0.106,0.61,0.43,0.363,0.402,0.133,0.9,0.018,16,0.253,0.324,2,0,3
Jamal Murray,SG,19,DEN,82,10,21.5,3.6,8.9,0.404,1.4,4.2,0.334,2.2,4.7,0.466,0.483,1.3,1.5,0.883,0.5,2.1,2.6,2.1,0.6,0.3,1.4,1.5,9.9,11.9,0.518,0.471,0.164,2.6,10.7,6.7,14.0,1.4,1.1,12.6,21.6,0.6,0.7,1.3,0.037,-0.6,-1.4,-2.0,0.0,3210840.0,16.5,0.529,0.226,0.096,0.09,0.116,0.612,0.357,0.379,0.341,0.483,0.713,0.026,17,0.218,0.413,8,0,1
