Player,Pos,Age,Tm,G,MP,FG%,AvgDistance,2PAr,0-3Ar,3-10Ar,10-16Ar,16-3PAr,3PAr,2P%,0-3%,3-10%,10-16%,16-3P%,3P%,2P_Assisted,3P_Assisted,DunksAr,Dunks,3PCornerAr,3PCorner%,HeavesAttempted,Heaves
Mahmoud Abdul-Rauf,PG,28,SAC,31,530,.377,17.5,.886,.051,.044,.183,.608,.114,.405,.500,.250,.360,.422,.161,.633,.600,.000,0,.000,,0,0
Tariq Abdul-Wahad,SG,23,SAC,59,959,.403,12.0,.947,.308,.168,.171,.300,.053,.414,.645,.267,.279,.336,.211,.636,.750,.106,35,.263,.200,1,0
Shareef Abdur-Rahim,SF,21,VAN,82,2950,.485,8.0,.962,.429,.258,.117,.160,.038,.488,.654,.349,.318,.386,.412,.581,.952,.115,147,.745,.474,0,0
Cory Alexander,PG,24,TOT,60,1298,.428,18.7,.560,.143,.040,.078,.300,.440,.469,.632,.313,.323,.450,.375,.305,.712,.013,5,.119,.286,0,0
Cory Alexander,PG,24,SAS,37,501,.414,18.4,.559,.110,.055,.103,.290,.441,.494,.813,.250,.400,.452,.313,.250,.700,.007,1,.109,.286,0,0
Cory Alexander,PG,24,DEN,23,797,.435,18.9,.561,.161,.031,.063,.306,.439,.455,.561,.375,.250,.449,.411,.338,.717,.016,4,.125,.286,0,0
Ray Allen*,SG,22,MIL,82,3287,.428,15.8,.720,.185,.100,.213,.223,.280,.453,.617,.282,.407,.437,.364,.385,.761,.030,35,.155,.386,14,1
Derek Anderson,SF,23,CLE,66,1839,.408,12.6,.857,.304,.111,.188,.254,.143,.442,.579,.308,.364,.396,.202,.486,.647,.051,29,.131,.455,5,0
Greg Anderson,C,33,ATL,50,398,.444,8.7,.938,.741,.148,.037,.012,.062,.474,.517,.333,.333,.000,.000,.556,,.049,4,.000,,0,0
Kenny Anderson,PG,27,TOT,61,1858,.398,14.7,.763,.274,.086,.142,.260,.237,.411,.503,.345,.427,.326,.356,.280,.632,.000,0,.075,.417,0,0
Kenny Anderson,PG,27,POR,45,1472,.387,15.0,.748,.285,.078,.137,.249,.252,.398,.480,.341,.389,.328,.353,.293,.660,.000,0,.090,.417,0,0
Kenny Anderson,PG,27,BOS,16,386,.435,13.7,.816,.238,.116,.163,.299,.184,.450,.600,.353,.542,.318,.370,.241,.500,.000,0,.000,,0,0
Nick Anderson,SF,30,ORL,58,1701,.455,14.5,.716,.218,.203,.102,.194,.284,.493,.640,.458,.312,.459,.360,.504,.909,.019,13,.121,.385,3,0
Shandon Anderson,SG,24,UTA,82,1602,.538,8.5,.936,.584,.160,.086,.106,.064,.560,.688,.325,.326,.396,.219,.805,1.000,.062,30,.250,.125,1,0
Chris Anstey,C,23,DAL,41,680,.398,14.1,.931,.264,.056,.078,.532,.069,.414,.639,.615,.000,.341,.188,.697,1.000,.074,17,.375,.333,0,0
Greg Anthony,PG,30,SEA,80,1021,.430,16.9,.544,.195,.117,.054,.178,.456,.442,.529,.366,.421,.403,.415,.274,.818,.000,0,.296,.426,1,0
