Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Tm_y,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Steven Adams,C,22,OKC,18,18,30.7,3.8,6.2,.613,0.0,0.1,.000,3.8,6.1,.618,.613,2.6,4.1,.630,3.4,6.1,9.5,0.7,0.5,0.8,0.9,3.1,10.1,OKC,16.8,.636,.009,.658,12.7,21.6,17.2,3.5,0.8,2.0,10.6,12.6,1.5,0.6,2.1,.180,1.5,0.3,1.8,0.5
Cole Aldrich,C,27,LAC,6,0,12.8,1.7,2.5,.667,0.0,0.0,,1.7,2.5,.667,.667,0.5,1.0,.500,1.3,3.7,5.0,0.5,1.0,0.5,0.3,1.8,3.8,LAC,21.4,.652,.000,.400,10.4,28.1,19.3,6.0,4.0,3.3,10.2,11.4,0.2,0.2,0.4,.254,1.1,3.3,4.4,0.1
LaMarcus Aldridge,PF,30,SAS,10,10,33.7,8.8,16.9,.521,0.2,0.2,1.000,8.6,16.7,.515,.527,4.1,4.6,.891,2.2,6.1,8.3,1.0,0.4,1.4,1.1,1.8,21.9,SAS,25.0,.579,.012,.272,8.0,19.7,14.2,5.4,0.6,3.3,5.5,27.7,1.0,0.5,1.6,.223,3.5,0.2,3.6,0.5
Lavoy Allen,PF,26,IND,6,3,8.5,0.5,1.7,.300,0.0,0.0,,0.5,1.7,.300,.300,0.0,0.0,,0.7,1.7,2.3,0.3,0.2,0.2,0.2,0.3,1.0,IND,7.1,.300,.000,.000,9.7,21.0,15.7,6.2,1.1,1.6,9.1,10.4,0.0,0.1,0.0,.031,-2.1,-0.4,-2.4,0.0
Tony Allen,SG,34,MEM,4,2,23.5,2.5,8.3,.303,0.3,1.8,.143,2.3,6.5,.346,.318,2.3,3.3,.692,1.5,1.3,2.8,0.8,1.3,0.5,1.5,2.8,7.5,MEM,6.7,.387,.212,.394,6.4,7.2,6.8,5.7,2.9,1.9,13.4,21.9,-0.2,0.0,-0.2,-0.103,-4.1,-0.7,-4.8,-0.1
Al-Farouq Aminu,SF,25,POR,11,11,33.8,5.1,11.6,.438,2.5,6.4,.400,2.5,5.3,.483,.547,1.9,2.6,.724,2.1,6.5,8.6,1.8,0.7,0.9,1.9,2.8,14.6,POR,15.5,.572,.547,.227,6.2,20.4,13.1,8.7,1.1,2.1,13.0,18.6,0.5,0.3,0.8,.100,2.1,0.5,2.7,0.4
Chris Andersen,C,37,MEM,4,2,19.8,1.3,3.0,.417,0.0,0.0,,1.3,3.0,.417,.417,1.3,2.0,.625,3.3,4.5,7.8,0.8,0.5,0.8,1.3,1.0,3.8,MEM,14.7,.483,.000,.667,16.5,31.0,22.7,6.3,1.4,3.3,24.4,11.9,0.0,0.0,0.0,.021,-0.3,-1.0,-1.3,0.0
Justin Anderson,SF,22,DAL,5,1,19.0,3.4,7.4,.459,0.8,2.6,.308,2.6,4.8,.542,.514,1.8,2.8,.643,1.8,2.2,4.0,1.4,0.8,0.6,1.0,2.4,9.4,DAL,19.2,.544,.351,.378,10.6,14.1,12.3,13.2,2.2,2.8,10.4,23.5,0.2,0.0,0.1,.058,2.0,0.7,2.7,0.1
Kyle Anderson,SF,22,SAS,10,0,12.9,0.8,2.5,.320,0.1,0.3,.333,0.7,2.2,.318,.340,0.6,0.7,.857,0.2,2.2,2.4,0.7,0.6,0.3,0.4,1.1,2.3,SAS,7.7,.410,.120,.280,1.9,18.6,10.7,7.3,2.4,1.8,12.5,11.6,-0.1,0.2,0.1,.055,-4.5,2.0,-2.4,0.0
Trevor Ariza,SF,30,HOU,5,5,36.2,2.6,10.2,.255,0.8,5.6,.143,1.8,4.6,.391,.294,0.6,0.8,.750,1.4,2.8,4.2,0.8,2.6,0.2,2.4,3.2,6.6,HOU,1.8,.313,.549,.078,3.9,8.7,6.1,3.6,3.5,0.5,18.5,14.7,-0.5,0.1,-0.4,-0.116,-6.1,-0.5,-6.6,-0.2
Jeff Ayres,C,28,LAC,2,0,1.0,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.5,0.5,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,LAC,68.8,1.042,.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.1,0.0,0.0,0.0,.768,23.2,6.1,29.3,0.0
Leandro Barbosa,SG,33,GSW,23,0,11.0,2.2,3.8,.580,0.5,1.2,.393,1.7,2.6,.667,.642,0.7,0.9,.762,0.5,0.7,1.2,0.7,0.5,0.0,0.5,1.0,5.6,GSW,18.4,.663,.318,.239,4.8,6.7,5.8,9.7,2.1,0.3,10.2,18.7,0.7,0.2,0.9,.172,1.7,1.6,3.3,0.3
J.J. Barea,PG,31,DAL,4,2,25.0,2.8,8.5,.324,0.3,2.0,.125,2.5,6.5,.385,.338,0.5,0.5,1.000,0.0,1.5,1.5,5.0,0.0,0.0,2.8,2.0,6.3,DAL,2.0,.358,.235,.059,0.0,7.3,3.5,31.9,0.0,0.0,24.0,21.2,-0.3,-0.2,-0.5,-0.241,-5.6,-6.3,-11.8,-0.3
Harrison Barnes,SF,23,GSW,24,23,31.0,3.4,8.9,.385,1.1,3.2,.342,2.3,5.7,.409,.446,1.1,1.4,.765,1.1,3.5,4.7,1.3,0.7,0.2,0.8,1.9,9.0,GSW,8.6,.474,.357,.160,4.0,12.2,8.2,5.8,1.1,0.4,7.3,14.5,0.2,0.6,0.7,.047,-1.8,-0.7,-2.4,-0.1
Matt Barnes,SF,35,MEM,4,4,34.8,4.0,11.5,.348,0.8,4.5,.167,3.3,7.0,.464,.380,2.0,2.5,.800,1.3,6.0,7.3,2.8,1.0,0.3,3.3,3.3,10.8,MEM,7.0,.427,.391,.217,3.6,23.5,12.1,14.3,1.6,0.6,20.5,21.0,-0.3,0.0,-0.3,-0.107,-3.5,-0.9,-4.4,-0.1
Nicolas Batum,SF,27,CHO,5,2,28.8,3.4,9.0,.378,1.2,4.4,.273,2.2,4.6,.478,.444,3.4,4.0,.850,0.4,3.2,3.6,2.0,0.4,0.0,1.6,1.2,11.4,CHO,12.1,.530,.489,.444,1.5,13.6,7.1,12.7,0.7,0.0,12.9,20.4,0.0,0.1,0.1,.031,-0.1,-2.3,-2.4,0.0
Aron Baynes,C,29,DET,4,0,11.0,1.0,2.3,.444,0.0,0.0,,1.0,2.3,.444,.444,0.5,0.8,.667,0.8,1.3,2.0,0.5,0.0,0.0,0.8,1.0,2.5,DET,5.9,.484,.000,.333,8.6,13.4,11.1,6.9,0.0,0.0,22.5,15.2,0.0,0.0,-0.1,-0.081,-4.7,-2.8,-7.4,-0.1
Kent Bazemore,SF,26,ATL,10,10,32.5,4.4,12.1,.364,1.6,6.1,.262,2.8,6.0,.467,.430,1.5,2.2,.682,0.8,5.8,6.6,1.9,1.4,0.6,1.0,1.4,11.9,ATL,11.9,.455,.504,.182,2.8,18.3,10.9,9.4,2.2,1.7,7.1,19.4,-0.1,0.5,0.3,.049,-1.0,0.7,-0.3,0.1
Michael Beasley,PF,27,HOU,5,0,16.0,4.4,9.2,.478,0.4,1.2,.333,4.0,8.0,.500,.500,1.2,1.4,.857,0.8,3.4,4.2,0.6,0.2,0.0,1.4,1.6,10.4,HOU,15.9,.530,.130,.152,5.0,23.8,13.8,9.1,0.6,0.0,12.5,28.8,0.0,0.0,0.0,.015,1.4,-1.8,-0.4,0.0
Patrick Beverley,PG,27,HOU,5,5,25.8,2.0,7.4,.270,0.6,2.8,.214,1.4,4.6,.304,.311,1.2,1.2,1.000,0.8,3.6,4.4,2.2,0.4,0.4,0.8,3.4,5.8,HOU,5.0,.366,.378,.162,3.1,15.6,9.0,14.0,0.8,1.3,9.2,13.9,-0.1,0.0,-0.1,-0.031,-4.1,-1.1,-5.2,-0.1
Bismack Biyombo,C,23,TOR,20,10,25.3,2.0,3.5,.580,0.0,0.0,,2.0,3.5,.580,.580,2.2,3.6,.597,2.7,6.7,9.4,0.4,0.4,1.4,1.1,2.4,6.2,TOR,15.9,.611,.000,1.043,11.9,33.8,22.2,2.5,0.8,4.7,17.3,11.1,0.8,0.8,1.5,.146,0.3,1.2,1.5,0.4
Steve Blake,PG,35,DET,4,0,10.8,0.3,1.3,.200,0.3,0.5,.500,0.0,0.8,.000,.300,0.3,0.5,.500,0.0,1.0,1.0,2.5,0.0,0.0,1.3,1.8,1.0,DET,0.3,.340,.400,.400,0.0,11.0,5.7,32.0,0.0,0.0,46.0,12.7,-0.1,0.0,-0.1,-0.160,-7.8,-3.7,-11.5,-0.1
Andrew Bogut,C,31,GSW,22,22,16.6,2.2,3.5,.623,0.0,0.1,.000,2.2,3.4,.640,.623,0.2,0.6,.357,2.1,3.5,5.7,1.4,0.6,1.6,0.9,3.3,4.6,GSW,18.2,.607,.026,.182,14.1,22.8,18.5,12.2,1.9,7.7,18.6,12.3,0.7,0.7,1.5,.194,-1.1,3.8,2.6,0.4
Avery Bradley,SG,25,BOS,1,1,33.0,7.0,16.0,.438,1.0,7.0,.143,6.0,9.0,.667,.469,3.0,3.0,1.000,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,18.0,BOS,16.1,.520,.438,.188,6.0,3.4,4.7,6.2,1.5,2.7,5.5,23.9,0.0,0.0,0.1,.112,2.1,0.4,2.5,0.0
Corey Brewer,SF,29,HOU,5,1,15.4,1.4,5.4,.259,0.2,2.0,.100,1.2,3.4,.353,.278,1.4,1.6,.875,0.6,0.8,1.4,1.6,0.0,0.2,1.2,2.6,4.4,HOU,1.3,.360,.370,.296,3.9,5.8,4.8,17.4,0.0,1.1,16.4,19.5,-0.2,0.0,-0.2,-0.123,-6.0,-2.5,-8.5,-0.1
Reggie Bullock,SF,24,DET,2,0,11.0,2.5,3.0,.833,1.0,1.5,.667,1.5,1.5,1.000,1.000,0.0,0.0,,0.0,1.0,1.0,1.5,0.5,0.0,0.0,1.0,6.0,DET,31.6,1.000,.500,.000,0.0,10.7,5.5,26.1,2.5,0.0,0.0,13.7,0.2,0.0,0.2,.329,11.1,5.5,16.6,0.1
Kentavious Caldwell-Pope,SG,22,DET,4,4,40.3,5.5,12.5,.440,3.0,6.8,.444,2.5,5.8,.435,.560,1.3,1.8,.714,0.5,3.8,4.3,2.8,1.8,0.3,0.5,1.8,15.3,DET,16.2,.575,.540,.140,1.6,11.0,6.4,11.1,2.4,0.6,3.6,17.2,0.3,-0.1,0.2,.072,2.2,1.3,3.5,0.2
Clint Capela,C,21,HOU,5,0,8.6,0.6,1.8,.333,0.0,0.0,,0.6,1.8,.333,.333,0.4,1.0,.400,1.6,2.4,4.0,0.4,0.6,0.4,0.6,1.0,1.6,HOU,13.4,.357,.000,.556,18.5,31.3,24.5,7.5,3.4,4.0,21.1,13.6,-0.1,0.1,0.0,.010,-1.2,0.5,-0.7,0.0
DeMarre Carroll,SF,29,TOR,20,19,29.8,3.1,8.0,.390,1.3,4.0,.329,1.8,4.0,.450,.472,1.4,1.8,.750,1.2,2.9,4.1,0.9,0.9,0.4,0.9,3.1,8.9,TOR,9.9,.506,.497,.226,4.4,12.4,8.1,4.8,1.6,1.0,9.3,15.0,0.3,0.5,0.8,.062,-1.1,0.6,-0.6,0.2
Vince Carter,SG,39,MEM,4,4,22.8,3.8,8.3,.455,1.8,2.5,.700,2.0,5.8,.348,.561,2.0,2.0,1.000,1.3,2.5,3.8,1.3,0.5,0.3,0.8,2.3,11.3,MEM,19.4,.616,.303,.242,5.5,15.0,9.5,10.9,1.2,1.0,7.6,20.0,0.3,0.0,0.3,.140,5.4,0.3,5.7,0.2
Ian Clark,SG,24,GSW,16,0,9.6,1.6,3.3,.491,0.4,1.1,.333,1.3,2.2,.571,.547,0.5,0.6,.800,0.1,0.9,1.1,1.0,0.5,0.0,0.6,1.1,4.1,GSW,13.9,.575,.340,.189,1.4,10.4,6.0,16.3,2.6,0.0,13.6,18.9,0.2,0.2,0.4,.109,-1.4,1.4,0.0,0.1
Nick Collison,PF,35,OKC,9,0,8.8,0.4,0.7,.667,0.0,0.0,,0.4,0.7,.667,.667,0.1,0.2,.500,0.3,0.9,1.2,0.6,0.9,0.0,0.1,1.9,1.0,OKC,9.8,.654,.000,.333,4.3,11.1,7.8,8.5,5.1,0.0,12.7,4.3,0.1,0.1,0.2,.149,-3.3,4.6,1.3,0.1
Pat Connaughton,SG,23,POR,6,0,1.3,0.5,0.8,.600,0.3,0.5,.667,0.2,0.3,.500,.800,0.0,0.0,,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.3,POR,35.9,.800,.600,.000,0.0,13.2,6.4,0.0,0.0,0.0,0.0,26.7,0.0,0.0,0.0,.254,18.7,1.2,19.8,0.0
Allen Crabbe,SG,23,POR,11,0,27.5,3.5,6.6,.521,1.4,3.2,.429,2.1,3.5,.605,.623,1.3,1.7,.737,0.5,2.5,2.9,1.4,0.6,0.1,0.5,2.1,9.5,POR,12.8,.645,.479,.260,1.7,9.4,5.4,7.8,1.2,0.3,6.9,12.4,0.7,0.1,0.7,.114,0.2,0.2,0.4,0.2
Jamal Crawford,SG,35,LAC,6,1,33.2,6.5,17.2,.379,0.7,3.5,.190,5.8,13.7,.427,.398,3.7,4.2,.880,0.3,1.8,2.2,2.2,1.7,0.0,1.5,1.5,17.3,LAC,13.3,.456,.204,.243,1.0,5.4,3.2,11.3,2.6,0.0,7.3,27.6,-0.1,0.2,0.1,.015,-1.1,-0.2,-1.3,0.0
Jae Crowder,SF,25,BOS,6,6,32.8,3.3,12.0,.278,1.7,6.8,.244,1.7,5.2,.323,.347,1.2,1.8,.636,0.8,5.7,6.5,2.2,1.5,0.5,1.2,2.8,9.5,BOS,6.7,.371,.569,.153,2.5,19.2,10.3,11.0,2.2,1.3,8.3,18.3,-0.4,0.4,0.0,-0.001,-3.3,0.7,-2.6,0.0
Stephen Curry,PG,27,GSW,18,17,34.1,8.2,18.8,.438,4.4,11.0,.404,3.8,7.8,.486,.556,4.2,4.6,.916,0.8,4.7,5.5,5.2,1.4,0.3,4.2,2.2,25.1,GSW,22.3,.603,.586,.246,2.5,14.8,8.7,26.8,2.1,0.7,16.7,32.1,1.3,0.7,1.9,.152,6.6,0.4,7.0,1.4
Troy Daniels,SG,24,CHO,4,0,4.5,0.3,2.0,.125,0.0,0.8,.000,0.3,1.3,.200,.125,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,CHO,-11.7,.125,.375,.000,0.0,13.6,6.3,0.0,0.0,0.0,0.0,21.2,-0.2,0.0,-0.1,-0.395,-13.1,-7.1,-20.2,-0.1
Ed Davis,PF,26,POR,11,0,18.6,1.9,3.6,.525,0.0,0.2,.000,1.9,3.5,.553,.525,1.7,3.0,.576,2.4,4.5,6.8,1.3,0.2,0.6,0.9,3.0,5.5,POR,14.9,.559,.050,.825,12.7,25.2,18.8,10.3,0.5,2.7,15.5,13.4,0.4,0.2,0.5,.127,-0.9,0.1,-0.7,0.1
Matthew Dellavedova,PG,25,CLE,20,0,12.1,1.3,3.7,.351,0.4,1.6,.258,0.9,2.2,.419,.405,0.9,1.2,.750,0.2,0.6,0.8,2.8,0.1,0.1,0.7,1.6,3.9,CLE,10.8,.461,.419,.324,2.0,5.3,3.7,33.6,0.2,0.4,14.2,18.9,0.4,0.1,0.4,.083,-1.2,-2.1,-3.3,-0.1
Luol Deng,PF,30,MIA,14,14,35.4,4.6,9.9,.471,1.7,4.1,.421,2.9,5.8,.506,.558,2.3,2.7,.842,1.4,4.6,5.9,1.6,0.9,0.6,1.6,1.7,13.3,MIA,15.5,.601,.413,.275,4.8,14.5,9.9,7.2,1.4,1.4,12.9,17.1,0.8,0.8,1.6,.158,2.0,1.1,3.2,0.6
DeMar DeRozan,SG,26,TOR,20,20,37.3,7.9,19.9,.394,0.2,1.3,.154,7.7,18.6,.411,.399,5.0,6.2,.813,0.7,3.5,4.2,2.7,1.1,0.2,2.3,2.6,20.9,TOR,14.2,.462,.065,.309,2.0,12.0,6.7,14.7,1.6,0.4,9.1,30.9,-0.4,0.5,0.1,.009,0.2,-1.5,-1.3,0.1
Boris Diaw,PF,33,SAS,9,0,17.7,2.3,5.1,.457,0.2,0.7,.333,2.1,4.4,.475,.478,0.3,0.4,.750,0.2,1.9,2.1,2.3,0.2,0.4,0.7,1.0,5.2,SAS,12.0,.492,.130,.087,1.5,11.6,6.9,19.6,0.7,2.0,11.2,15.7,0.1,0.2,0.3,.083,-0.5,0.7,0.1,0.1
Spencer Dinwiddie,PG,22,DET,1,0,2.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,DET,65.2,1.000,.000,.000,0.0,0.0,0.0,100.0,0.0,0.0,0.0,25.1,0.0,0.0,0.0,.950,34.9,10.5,45.5,0.0
Goran Dragić,PG,29,MIA,14,14,33.7,6.5,14.7,.442,1.1,3.3,.348,5.4,11.4,.469,.481,2.4,3.1,.767,0.8,4.1,4.9,3.9,0.4,0.2,2.2,3.3,16.5,MIA,15.1,.514,.223,.209,2.9,13.8,8.6,20.5,0.7,0.5,12.1,25.8,0.4,0.6,1.0,.099,0.0,-0.8,-0.7,0.1
Andre Drummond,C,22,DET,4,4,32.8,7.0,13.5,.519,0.0,0.3,.000,7.0,13.3,.528,.519,2.8,8.5,.324,3.0,6.0,9.0,0.0,0.3,1.5,1.0,2.0,16.8,DET,17.6,.486,.019,.630,11.6,21.6,16.8,0.0,0.4,4.5,5.5,28.0,0.0,0.0,0.0,-0.012,-0.6,-3.0,-3.5,-0.1
Tim Duncan*,C,39,SAS,10,10,21.8,2.2,5.2,.423,0.0,0.0,,2.2,5.2,.423,.423,1.5,2.1,.714,1.0,3.8,4.8,1.4,0.2,1.3,1.0,1.8,5.9,SAS,11.6,.482,.000,.404,5.6,19.0,12.7,9.1,0.5,4.7,14.0,15.2,0.0,0.4,0.4,.083,-2.4,1.8,-0.6,0.1
