Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Made_Playoffs
CHI,15,67,0.183,41,10-31,5-36,0-0,0-0,87.6,96.7,-9.1,W2,3-7,False
WAS,19,63,0.23199999999999998,37,12-29,7-34,0-0,0-0,93.2,99.9,-6.7,L3,1-9,False
ATL,25,57,0.305,31,18-23,7-34,0-0,0-0,91.0,96.2,-5.2,W1,4-6,False
BRK,26,56,0.317,30,18-23,8-33,0-0,0-0,92.1,97.1,-5.0,L6,2-8,False
CLE,30,52,0.366,26,20-21,10-31,0-0,0-0,92.2,96.5,-4.3,L1,4-6,False
DET,32,50,0.39,24,18-23,14-27,0-0,0-0,95.6,97.3,-1.7,L3,6-4,False
BOS,36,46,0.439,20,20-21,16-25,0-0,0-0,94.6,96.8,-2.2,L1,3-7,False
PHI,56,26,0.6829999999999999,-,29-12,27-14,0-0,0-0,94.7,90.4,4.3,L1,6-4,True
MIL,52,30,0.634,4,31-10,21-20,0-0,0-0,100.7,96.9,3.8,L1,6-4,True
MIA,50,32,0.61,6,29-12,21-20,0-0,0-0,88.9,86.6,2.3,W2,7-3,True
NYK,48,34,0.585,8,30-11,18-23,0-0,0-0,88.7,86.1,2.6,W1,6-4,True
TOR,47,35,0.573,9,27-14,20-21,0-0,0-0,97.6,95.4,2.2,W2,7-3,True
CHO,46,36,0.561,10,28-13,18-23,0-0,0-0,91.9,89.8,2.1,W4,6-4,True
ORL,43,39,0.524,13,26-15,17-24,0-0,0-0,97.5,96.5,1.0,L2,4-6,True
IND,41,41,0.5,15,26-15,15-26,0-0,0-0,92.6,92.8,-0.2,W1,8-2,True
