Rank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Made_Playoffs
1,MIA,59,23,0.72,-,35-6,24-17,15-1,41-11,101.5,95.0,6.5,W3,5-5,True
2,DET,54,28,0.659,5,32-9,22-19,8-8,35-17,93.3,89.5,3.8,L1,9-1,True
3,BOS,45,37,0.5489999999999999,14,27-14,18-23,8-8,30-22,101.3,100.4,0.9,L2,6-4,True
4,CHI,47,35,0.573,12,27-14,20-21,8-8,32-20,94.5,93.4,1.1,L1,6-4,True
5,WAS,45,37,0.5489999999999999,14,29-12,16-25,10-6,28-24,100.5,100.8,-0.3,L2,4-6,True
6,IND,44,38,0.537,15,25-16,19-22,9-7,29-23,93.0,92.2,0.8,W1,6-4,True
7,PHI,43,39,0.524,16,25-16,18-23,8-8,33-19,99.1,99.9,-0.8,W2,8-2,True
8,BRK,42,40,0.512,17,24-17,18-23,11-5,31-21,91.4,92.9,-1.5,W4,8-2,True
9,CLE,42,40,0.512,17,29-12,13-28,7-9,26-26,96.5,95.7,0.8,W2,4-6,False
10,ORL,36,46,0.439,23,24-17,12-29,6-10,21-31,99.5,101.8,-2.3,L1,2-8,False
11,TOR,33,49,0.402,26,22-19,11-30,7-9,20-32,99.7,101.4,-1.7,L1,3-7,False
12,NYK,33,49,0.402,26,22-19,11-30,6-10,21-31,97.3,99.7,-2.4,W1,4-6,False
13,MIL,30,52,0.366,29,23-18,7-34,8-8,24-28,97.2,100.2,-3.0,L2,3-7,False
14,CHO,18,64,0.22,41,14-27,4-37,7-9,11-41,94.3,100.2,-5.9,W1,3-7,False
15,ATL,13,69,0.159,46,9-32,4-37,2-14,8-44,92.7,102.5,-9.8,L2,2-8,False
