Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Made_Playoffs
Sacramento Kings,61,21,0.7440000000000001,-,36-5,25-16,0-0,0-0,104.6,97.0,7.6,L1,8-2,True
San Antonio Spurs,58,24,0.7070000000000001,3,32-9,26-15,0-0,0-0,96.7,90.5,6.2,W9,9-1,True
Los Angeles Lakers,58,24,0.7070000000000001,3,34-7,24-17,0-0,0-0,101.3,94.1,7.2,W2,7-3,True
Dallas Mavericks,57,25,0.695,4,30-11,27-14,0-0,0-0,105.2,101.0,4.2,L1,7-3,True
Minnesota Timberwolves,50,32,0.61,11,29-12,21-20,0-0,0-0,99.3,96.0,3.3,W1,6-4,True
Portland Trail Blazers,49,33,0.598,12,30-11,19-22,0-0,0-0,96.6,93.7,2.9,W3,5-5,True
Seattle SuperSonics,45,37,0.5489999999999999,16,26-15,19-22,0-0,0-0,97.6,94.6,3.0,W1,4-6,True
Utah Jazz,44,38,0.537,17,25-16,19-22,0-0,0-0,96.0,95.1,0.9,L2,4-6,True
A Clippers,39,43,0.47600000000000003,22,25-16,14-27,0-0,0-0,95.7,96.1,-0.4,L1,3-7,False
Phoenix Suns,36,46,0.439,25,23-18,13-28,0-0,0-0,95.1,95.8,-0.7,W1,3-7,False
Houston Rockets,28,54,0.341,33,18-23,10-31,0-0,0-0,92.3,97.2,-4.9,L4,2-8,False
Denver Nuggets,27,55,0.32899999999999996,34,20-21,7-34,0-0,0-0,92.2,98.0,-5.8,L1,5-5,False
Memphis Grizzlies,23,59,0.28,38,15-26,8-33,0-0,0-0,89.9,97.4,-7.5,L2,4-6,False
Golden State Warriors,21,61,0.256,40,14-27,7-34,0-0,0-0,97.7,103.1,-5.4,W1,3-7,False
