Rank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Made_Playoffs
1,PHO,64,18,0.78,-,32-9,32-9,10-6,39-13,114.8,107.4,7.4,L1,6-4,True
2,MEM,56,26,0.6829999999999999,8,30-11,26-15,11-5,36-16,115.6,109.9,5.7,L1,7-3,True
3,GSW,53,29,0.6459999999999999,11,31-10,22-19,12-4,33-19,111.0,105.5,5.5,W5,6-4,True
4,DAL,52,30,0.634,12,29-12,23-18,14-2,36-16,108.0,104.7,3.3,W4,8-2,True
5,UTA,49,33,0.598,15,29-12,20-21,15-1,33-19,113.6,107.6,6.0,W1,4-6,True
6,DEN,48,34,0.585,16,23-18,25-16,6-10,29-23,112.7,110.4,2.3,L1,6-4,True
7,MIN,46,36,0.561,18,26-15,20-21,12-4,32-20,116.0,113.3,2.7,L1,4-6,True
8,NOP,36,46,0.439,28,19-22,17-24,6-10,25-27,109.3,110.3,-1.0,L2,6-4,True
9,LAC,42,40,0.512,22,25-16,17-24,9-7,26-26,108.4,108.4,0.0,W5,6-4,False
10,SAS,34,48,0.415,30,16-25,18-23,6-10,24-28,113.2,113.0,0.2,L3,6-4,False
11,LAL,33,49,0.402,31,21-20,12-29,3-13,18-34,112.1,115.1,-3.0,W2,2-8,False
12,SAC,30,52,0.366,34,16-25,14-27,6-10,20-32,110.3,115.8,-5.5,W1,5-5,False
13,POR,27,55,0.32899999999999996,37,17-24,10-31,1-15,11-41,106.2,115.1,-8.9,L11,0-10,False
14,OKC,24,58,0.293,40,12-29,12-29,6-10,17-35,103.7,111.8,-8.1,L3,4-6,False
15,HOU,20,62,0.244,44,11-30,9-32,3-13,11-41,109.7,118.2,-8.5,L7,3-7,False
