Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Made_Playoffs
DAL,82,241.2,38.5,85.1,0.45299999999999996,7.8,20.3,0.381,30.8,64.8,0.475,18.1,21.9,0.8290000000000001,11.1,31.0,42.1,22.4,8.1,5.5,11.6,21.1,103.0,True
GSW,82,240.9,37.3,84.6,0.441,5.2,15.1,0.344,32.1,69.6,0.462,22.6,29.0,0.778,15.7,31.0,46.7,20.9,7.2,6.2,15.8,21.8,102.4,False
SAC,82,241.8,39.5,85.2,0.46399999999999997,6.0,15.7,0.381,33.5,69.5,0.48200000000000004,16.7,22.3,0.746,11.0,33.5,44.5,24.8,9.0,5.6,14.5,20.3,101.7,True
LAL,82,243.0,37.7,83.6,0.451,5.9,16.7,0.35600000000000004,31.8,66.9,0.475,19.0,26.0,0.7340000000000001,13.1,31.1,44.3,23.3,7.8,5.7,14.5,22.9,100.4,True
MIL,82,242.7,37.1,81.3,0.457,7.1,18.6,0.38299999999999995,30.0,62.7,0.478,18.1,23.3,0.7759999999999999,10.7,28.9,39.5,22.2,7.6,4.2,12.7,22.2,99.5,True
ORL,82,241.5,35.9,82.5,0.436,6.9,19.4,0.35700000000000004,29.0,63.1,0.46,19.7,25.4,0.777,11.7,29.2,40.9,20.4,8.5,3.7,14.4,23.0,98.5,True
MIN,82,241.5,38.7,83.0,0.466,3.6,9.8,0.368,35.1,73.2,0.479,17.1,22.3,0.77,11.7,31.9,43.6,25.2,6.7,5.3,13.7,20.8,98.1,True
MEM,82,243.0,37.2,82.2,0.452,5.7,15.6,0.365,31.5,66.6,0.473,17.4,23.6,0.7390000000000001,11.5,30.1,41.6,23.1,7.9,6.1,15.4,20.5,97.5,False
PHI,82,242.1,36.3,81.0,0.44799999999999995,3.0,9.6,0.311,33.3,71.4,0.466,21.3,27.5,0.775,12.7,29.5,42.2,21.6,10.3,3.5,14.8,22.0,96.8,True
IND,82,242.7,35.5,80.6,0.441,4.6,13.6,0.33899999999999997,30.9,66.9,0.461,21.2,27.7,0.7659999999999999,12.2,32.0,44.2,23.3,8.5,5.4,14.8,22.1,96.8,True
NYK,82,242.1,36.2,82.0,0.441,7.4,19.3,0.38299999999999995,28.8,62.7,0.45899999999999996,16.1,19.8,0.815,10.3,29.0,39.2,22.0,7.1,3.1,14.0,23.0,95.9,False
SAS,82,241.8,35.5,76.8,0.462,5.5,15.5,0.354,30.0,61.3,0.489,19.4,26.8,0.725,11.5,31.2,42.6,20.0,7.7,6.5,15.8,20.4,95.8,True
PHO,82,241.5,36.6,82.6,0.44299999999999995,4.8,14.0,0.34299999999999997,31.8,68.6,0.46399999999999997,17.4,23.5,0.742,12.8,29.8,42.5,21.0,8.1,4.9,14.7,22.0,95.5,True
BRK,82,240.9,35.4,80.3,0.441,4.2,12.7,0.332,31.2,67.6,0.462,20.3,26.8,0.757,12.1,30.8,42.9,23.0,8.7,4.6,14.8,21.6,95.4,True
POR,82,242.1,36.4,79.2,0.46,4.6,14.0,0.33,31.8,65.1,0.488,17.7,23.7,0.745,12.1,29.0,41.1,22.7,8.8,3.9,15.2,19.9,95.2,True
CHI,82,243.0,36.5,81.9,0.445,4.3,12.2,0.35,32.2,69.7,0.462,17.7,24.6,0.722,12.0,31.0,43.0,21.7,7.4,5.6,16.9,24.7,95.0,False
UTA,82,241.2,35.3,75.5,0.46799999999999997,2.7,7.8,0.349,32.6,67.7,0.48100000000000004,21.3,28.6,0.745,12.5,29.0,41.5,25.6,8.6,5.7,16.8,22.4,94.7,True
ATL,82,242.7,34.9,78.5,0.444,4.9,13.9,0.35200000000000004,30.0,64.5,0.46399999999999997,19.4,24.5,0.7929999999999999,11.4,31.2,42.6,20.5,7.5,5.8,16.7,21.7,94.1,False
NOP,82,242.7,35.5,81.6,0.435,4.9,13.1,0.376,30.6,68.5,0.447,17.9,23.3,0.768,13.4,30.2,43.6,22.0,8.0,4.8,14.8,21.6,93.9,True
LAC,82,240.9,34.6,79.1,0.43700000000000006,4.8,14.4,0.331,29.8,64.8,0.46,19.9,26.5,0.75,12.3,30.0,42.3,19.6,7.0,5.6,15.7,21.8,93.8,False
HOU,82,243.0,34.6,78.8,0.44,5.4,15.5,0.34600000000000003,29.3,63.3,0.462,19.1,24.9,0.768,12.5,31.3,43.8,18.4,7.2,6.0,15.6,19.5,93.8,False
BOS,82,241.8,32.9,79.4,0.415,8.8,26.3,0.33399999999999996,24.2,53.1,0.455,18.0,24.3,0.742,10.4,30.1,40.5,19.2,8.8,3.7,14.0,21.4,92.7,True
OKC,82,242.1,35.2,80.5,0.43700000000000006,5.6,15.7,0.353,29.6,64.7,0.45799999999999996,16.2,21.7,0.7440000000000001,11.7,29.1,40.8,21.6,8.3,3.6,13.2,20.9,92.1,False
WAS,82,241.8,34.3,78.0,0.44,3.1,9.9,0.312,31.3,68.1,0.45899999999999996,19.7,25.3,0.779,11.2,29.2,40.4,19.7,7.6,4.8,13.4,20.0,91.5,False
DET,82,242.7,32.9,76.5,0.43,6.5,18.1,0.358,26.4,58.4,0.452,19.0,24.6,0.7709999999999999,10.8,29.8,40.6,19.8,6.8,5.7,13.5,21.3,91.4,True
CLE,82,241.8,34.8,82.3,0.42200000000000004,3.6,10.9,0.327,31.2,71.3,0.43700000000000006,18.3,24.5,0.747,13.6,31.0,44.6,20.9,7.8,6.4,18.3,22.7,91.4,False
TOR,82,241.5,34.7,81.3,0.42700000000000005,5.0,14.5,0.34299999999999997,29.7,66.7,0.446,16.5,22.9,0.718,12.5,28.7,41.2,19.3,7.4,4.8,14.4,21.5,90.9,False
