Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Made_Playoffs
LAL,19,240.0,50.2,92.4,0.5429999999999999,1.5,4.1,0.37200000000000005,48.7,88.3,0.551,24.4,32.3,0.755,13.2,32.9,46.1,33.7,9.4,6.3,17.2,26.4,126.3,False
DEN,15,241.7,47.4,97.8,0.485,1.5,4.1,0.361,45.9,93.7,0.49,25.7,32.9,0.7809999999999999,16.1,29.3,45.3,30.1,9.9,4.7,16.4,27.5,122.0,False
DAL,4,258.8,42.8,90.8,0.47100000000000003,2.3,6.0,0.375,40.5,84.8,0.478,32.8,39.3,0.8340000000000001,15.5,26.8,42.3,24.5,7.3,2.5,15.3,23.5,120.5,False
POR,9,248.3,47.7,98.1,0.486,1.0,4.0,0.25,46.7,94.1,0.496,22.8,30.1,0.7559999999999999,17.7,28.2,45.9,30.2,9.3,6.1,16.2,30.3,119.1,False
PHO,3,240.0,45.3,90.3,0.502,0.3,4.3,0.077,45.0,86.0,0.523,24.7,31.0,0.7959999999999999,12.7,25.0,37.7,31.3,9.3,4.3,21.0,26.3,115.7,False
DET,9,240.0,45.3,95.3,0.47600000000000003,0.8,3.1,0.25,44.6,92.2,0.483,23.9,30.0,0.7959999999999999,16.1,29.2,45.3,24.0,8.6,3.4,14.3,25.3,115.3,False
BOS,21,240.0,43.3,89.4,0.484,1.3,4.5,0.287,42.0,85.0,0.494,25.3,30.8,0.821,13.9,30.0,43.8,27.2,8.3,5.3,16.1,24.0,113.1,False
CLE,4,240.0,45.5,90.0,0.506,0.3,2.5,0.1,45.3,87.5,0.517,21.0,27.5,0.764,12.0,26.8,38.8,26.3,9.8,4.3,15.5,30.8,112.3,False
UTA,10,242.5,40.0,87.3,0.45799999999999996,1.4,4.8,0.292,38.6,82.5,0.46799999999999997,29.6,37.6,0.787,13.1,32.4,45.5,24.3,8.3,7.0,18.5,25.5,111.0,False
NJN,3,240.0,45.0,90.7,0.496,0.3,1.3,0.25,44.7,89.3,0.5,20.0,27.3,0.732,11.3,32.0,43.3,25.7,8.0,6.3,16.3,29.0,110.3,False
SAS,5,240.0,41.2,78.0,0.528,0.6,5.0,0.12,40.6,73.0,0.556,27.2,38.0,0.716,11.0,30.0,41.0,24.6,7.2,5.6,22.6,31.2,110.2,False
MIL,8,240.0,40.8,81.8,0.498,1.1,5.4,0.209,39.6,76.4,0.519,26.4,32.9,0.802,13.5,26.8,40.3,24.6,8.3,5.0,19.9,29.0,109.0,False
PHI,13,240.0,41.3,84.6,0.488,0.8,2.3,0.36700000000000005,40.5,82.3,0.49200000000000005,23.6,30.8,0.7659999999999999,15.2,29.1,44.3,21.8,10.3,6.2,18.7,22.8,107.1,False
CHI,4,240.0,40.0,85.3,0.469,0.5,4.8,0.105,39.5,80.5,0.491,24.8,31.3,0.792,15.3,23.5,38.8,20.0,10.0,4.8,16.8,29.8,105.3,False
HOU,5,240.0,42.8,99.0,0.43200000000000005,0.6,4.4,0.136,42.2,94.6,0.446,17.8,31.4,0.5670000000000001,22.0,34.8,56.8,21.0,8.8,6.8,16.0,29.4,104.0,False
WSB,4,240.0,40.3,84.5,0.47600000000000003,1.5,7.3,0.207,38.8,77.3,0.502,19.8,28.0,0.705,15.0,23.0,38.0,22.5,9.0,5.0,17.3,24.8,101.8,False
