Id,User,Att,Passed
365,João,1,True
364,juulfs,1,False
331,matheus,20,True
301,brunoxavier,1,True
300,xandinho,2,True
299,xandinho,1,True
298,Ralph,1,False
269,jgomide,1,False
268,Rodolfo,1,False
267,Dênis Kleber,1,False
266,Luiz Gustavo,1,False
265,Eduardo,1,False
242,DiegoRamos,1,False
241,testeteste,1,False
240,NBA pro guesser,1,False
239,MAGIC MELO,1,False
238,Masto,8,True
237,Iannis,2,False
236,Iannis,1,True
235,Curryfan,1,True
234,Masto,7,True
233,Masto,6,True
232,Masto,5,True
231,mateus,1,True
230,ester,1,False
229,Alexandre Barra,2,False
228,Alexandre Barra,1,False
227,Renan01,1,False
226,Masto,4,True
225,Masto,3,True
224,Gabriel Almeida,1,True
223,Harrison,3,True
222,Jose22,1,False
221,Phr@ngus,1,False
220,Fao,1,False
219,matheus,19,True
218,allan1995tj,1,False
217,Masto,2,True
216,Masto,1,True
215,Karlo_76,5,False
214,Gege,1,False
213,Karlo_76,4,True
212,leomol2,1,False
211,joaosantana,1,True
210,BGH05,2,True
209,alexsantelmo,1,False
208,BGH05,1,True
207,rmapage,1,True
206,Kizz,1,True
205,leomol,2,False
204,Samis,2,False
203,arthp14,1,True
202,Karlo_76,3,False
201,Karlo_76,2,False
200,Karlo_76,1,False
199,raphasanti,1,True
166,Marden,1,False
145,Bagre,2,True
144,Carlos Eduardo,1,True
143,Pwendelin,1,True
142,Rafa9martins,2,True
141,Rafa9martins,1,False
140,Fabio61,2,True
139,Fabio61,1,True
138,Pedro,1,True
137,aloaloteresina,1,True
136,otaviooasl,3,True
135,otaviooasl,1,True
134,gustavogodinho,1,False
133,Lucas Perez,1,False
100,filipe,1,True
74,matheus,17,True
73,matheus,16,True
72,matheus,15,True
71,mibrahim,14,True
70,pedro.olmo,2,True
69,mibrahim,13,True
68,mibrahim,12,True
67,pedro.olmo,1,True
34,matheus,14,True
24,mibrahim,11,True
23,mibrahim,10,True
22,mmm,2,True
21,mmm,1,True
20,mibrahim,9,True
19,mibrahim,8,True
18,matheus,12,True
17,mibrahim,7,True
16,mibrahim,6,True
15,matheus,11,True
14,mibrahim,5,False
13,mibrahim,4,True
12,mibrahim,3,True
11,helena,1,True
10,matheus,10,True
9,mibrahim,2,True
8,matheus,9,True
7,mibrahim,1,True
6,matheus,8,True
5,matheus,7,True
4,matheus,5,True
3,matheus,4,True
2,matheus,3,False
1,matheus,1,True
431,João Pedro,1,True
430,lenizio2016,1,False
397,mateus1,1,False
364,gegen07,1,False
332,JuG22,1,False
331,caiolelis1,1,True
299,arleilps,1,True
298,matheuscastro,1,True
265,eak4,2,True
232,nbaola,1,True
199,ysczach,1,True
169,_lucazxx,1,True
168,Gustavo,1,False
167,Joao luiz,1,False
166,Jan192,1,False
161,gvgseg,2,True
160,tiagolr20,1,False
159,scion.fe,1,False
158,gustavocampospf,1,True
157,Damstev,1,False
156,LuccaAug,1,False
155,',1,False
154,curryforthree,1,False
153,shadowplayer,1,True
152,victorarrighi,3,True
151,victorarrighiIA,2,True
150,nbaguesser1,1,True
149,cwmoraes,2,True
148,felipecostalps,1,False
147,lucaskelles,1,True
146,airjordan,1,False
145,cwmoraes,1,True
144,matheus,31,True
143,Luca,2,True
142,Tu,1,False
141,drinP,1,False
140,matheuscpmotta,1,True
139,CelticsFan0,1,True
138,Rubens,1,False
137,victorarrighiIA,1,False
136,IgorRahzel,1,True
135,Gps,1,True
134,jndj,1,False
133,MatheusMozeli,1,False
132,EnzoMA07,1,False
131,gsilva01,1,True
130,Gripp,1,True
129,felpsdamasceno,1,True
128,sig,1,True
127,Aeiou,1,True
126,arthurveloso,1,True
125,brngvnn,1,True
124,victorarrighi,2,True
123,victorarrighi,1,True
122,Jakefed,1,True
121,Flávio soriano,1,True
120,jalvesmartins,1,False
119,asdfadf123,1,False
118,Isadora,1,False
117,GabrielAlkmim,1,False
116,juanjunq,1,True
115,pedro.olmo,2,True
114,vitorsarvas,1,True
113,joaogalo,1,False
112,Luca,1,True
111,shaanj2469,1,True
110,Mateusaguilar,1,False
109,sendaspaulo,1,True
108,MatheusGonzaga,1,True
107,positionguesser111,1,True
106,Nachilieder,1,True
105,Larissa,1,False
104,paocomovo,1,False
103,gvgseg,1,True
102,Haniel,1,False
101,ksampath03,1,True
100,inbartam,1,True
67,pedro.olmo,1,True
39,matheus,28,False
38,matheus,27,False
37,matheus,26,False
36,matheus,25,True
35,matheus,24,True
34,matheus,23,True
2,matheus,22,True
1,matheus,21,True
